,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017","D018","D019","D020","D021","D022","D023","D024","D025","D026","D027","D028","D029","D030","D031","D032","D033","D034","D035","D036","D037","D038","D039","D040","D041","D042","D043","D044","D045","D046","D047","D048","D049"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Male:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:","Female:"
"Id","Id2","Geography",,,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over",,"Under 5 years","5 to 9 years","10 to 14 years","15 to 17 years","18 and 19 years","20 years","21 years","22 to 24 years","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years","85 years and over"
"1000000US060750101002017",60750101002017,"Block 2017, Block Group 2, Census Tract 101, San Francisco County, California",244,104,5,3,2,0,0,1,0,2,11,15,12,10,7,2,6,2,1,3,1,8,4,6,3,140,6,2,2,1,1,0,0,1,28,13,11,10,6,8,12,5,4,7,3,9,1,6,4
"1000000US060750101002018",60750101002018,"Block 2018, Block Group 2, Census Tract 101, San Francisco County, California",131,67,3,0,1,0,0,0,0,2,17,10,6,5,6,0,6,1,1,0,0,3,1,4,1,64,5,0,1,0,0,0,0,8,10,7,9,7,4,2,2,0,2,2,2,0,1,2,0
"1000000US060750101002019",60750101002019,"Block 2019, Block Group 2, Census Tract 101, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001000",60750102001000,"Block 1000, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001001",60750102001001,"Block 1001, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001002",60750102001002,"Block 1002, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001003",60750102001003,"Block 1003, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001004",60750102001004,"Block 1004, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001005",60750102001005,"Block 1005, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001006",60750102001006,"Block 1006, Block Group 1, Census Tract 102, San Francisco County, California",2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001007",60750102001007,"Block 1007, Block Group 1, Census Tract 102, San Francisco County, California",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001008",60750102001008,"Block 1008, Block Group 1, Census Tract 102, San Francisco County, California",103,50,1,1,0,1,1,0,0,5,12,13,3,2,3,0,1,0,3,2,1,1,0,0,0,53,2,2,0,0,0,0,0,4,20,9,1,3,3,1,2,2,2,0,1,1,0,0,0
"1000000US060750102001009",60750102001009,"Block 1009, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102001010",60750102001010,"Block 1010, Block Group 1, Census Tract 102, San Francisco County, California",83,39,3,0,0,0,0,0,0,0,7,5,4,3,9,1,2,1,0,1,1,1,1,0,0,44,4,0,1,1,0,0,0,3,11,2,4,5,4,1,0,2,0,1,1,3,0,1,0
"1000000US060750102001011",60750102001011,"Block 1011, Block Group 1, Census Tract 102, San Francisco County, California",173,96,2,3,3,2,1,1,0,7,18,11,10,12,4,6,4,3,2,0,1,1,1,2,2,77,2,3,1,0,1,0,0,7,17,16,4,7,3,5,3,1,2,0,0,3,0,0,2
"1000000US060750102001012",60750102001012,"Block 1012, Block Group 1, Census Tract 102, San Francisco County, California",161,87,4,3,0,0,0,0,0,2,19,14,7,8,8,3,8,0,0,2,3,3,1,1,1,74,3,0,1,1,0,0,1,3,17,8,9,4,5,4,5,2,0,2,2,3,2,1,1
"1000000US060750102001013",60750102001013,"Block 1013, Block Group 1, Census Tract 102, San Francisco County, California",98,46,3,0,1,0,0,0,0,3,2,9,3,3,4,2,5,0,1,0,3,4,3,0,0,52,0,1,0,0,0,0,0,2,1,10,2,5,3,5,3,1,2,0,3,4,2,5,3
"1000000US060750102001014",60750102001014,"Block 1014, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
