,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750102002010",60750102002010,"Block 2010, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102003000",60750102003000,"Block 3000, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102003001",60750102003001,"Block 3001, Block Group 3, Census Tract 102, San Francisco County, California",99,96,67,0,1,25,1,0,2,3,2,0,0,0,0,0,1
"1000000US060750102003002",60750102003002,"Block 3002, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102003003",60750102003003,"Block 3003, Block Group 3, Census Tract 102, San Francisco County, California",277,256,210,1,0,34,0,0,11,21,12,0,0,0,0,3,6
"1000000US060750102003004",60750102003004,"Block 3004, Block Group 3, Census Tract 102, San Francisco County, California",143,139,116,1,0,19,0,0,3,4,4,0,0,0,0,0,0
"1000000US060750102003005",60750102003005,"Block 3005, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102003006",60750102003006,"Block 3006, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750102003007",60750102003007,"Block 3007, Block Group 3, Census Tract 102, San Francisco County, California",101,99,80,1,0,9,0,0,9,2,2,0,0,0,0,0,0
"1000000US060750102003008",60750102003008,"Block 3008, Block Group 3, Census Tract 102, San Francisco County, California",216,208,171,1,0,23,0,3,10,8,7,0,0,0,0,1,0
